"item_A","item_B","item_C","lon","lat","start","end","overall_pos","overall_neg"
"PG17362-N1","CRI-Apomuden","SARI-Diedi","-0.6382583","9.884525","2020-07-16 14:28:32","2020-11-30 10:28:06","B","C"
"SARI-Janlow","SARI-Tiemeh","CRI-Okumkum","-0.6382343","9.884543","2020-07-16 14:26:24","2020-11-30 10:21:31","A","B"
"SARI-Tiemeh","PG17265-N1","CRI-Ligri","-0.4781618","9.878298","2020-07-02 09:35:05","2020-11-19 08:55:42","C","A"
"SARI-Suyolo","CRI-Dadanyuie","PG17362-N1","-0.4240811","9.922758","2020-07-02 14:01:46","2020-11-19 13:35:17","C","B"
"SARI-Nyumingre (Obare)","PG17305-N1","CRI-Apomuden","-0.4781198","9.878267","2020-07-02 13:13:50","2020-11-19 09:05:35","B","C"
"CRI-Dadanyuie","PGN16021-39","SARI-Diedi","-0.4778832","9.878258","2020-07-02 10:07:26","2020-11-19 08:24:00","B","A"
"SARI-Nan","SARI-Diedi","PG17265-N1","-0.4783164","9.878357","2020-07-02 11:34:36","2020-11-19 08:36:34","B","A"
"PGN16021-39","SARI-Nan","SARI-Tiemeh","-0.4781518","9.87824","2020-07-02 11:04:12","2020-11-19 08:15:42","C","B"
"CRI-Apomuden","CRI-Okumkum","SARI-Suyolo","-0.4237683","9.922306","2020-07-02 12:11:16","2020-11-19 13:38:46","B","C"
"SARI-Nyoriberi-gu","PG17362-N1","SARI-Nyumingre (Obare)","-0.4691483","9.869279","2020-07-03 11:24:43","2020-11-19 10:25:45","A","B"
"CRI-Ligri","SARI-Diedi","PG17305-N1","-0.469121","9.869285","2020-07-03 10:35:31","2020-11-19 10:14:40","A","C"
"CRI-Okumkum","PGN16021-39","SARI-Janlow","-0.4691548","9.869296","2020-07-03 11:00:41","2020-11-19 11:11:12","C","B"
"SARI-Tiemeh","SARI-Nyoriberi-gu","SARI-Nan","-0.4691386","9.869314","2020-07-03 09:57:24","2020-11-19 09:41:33","B","A"
"SARI-Janlow","PG17362-N1","CRI-Ligri","-0.469162","9.869299","2020-07-03 10:19:52","2020-11-19 09:57:59","B","A"
"SARI-Suyolo","PG17265-N1","CRI-Apomuden","-0.4691088","9.869276","2020-07-03 10:14:59","2020-11-19 10:06:38","C","A"
"PG17305-N1","SARI-Nyumingre (Obare)","PG17265-N1","-0.4692309","9.869292","2020-07-03 09:38:06","2020-11-19 10:32:29","C","A"
"CRI-Dadanyuie","PG17305-N1","CRI-Okumkum","-0.4691792","9.869294","2020-07-03 09:59:26","2020-11-19 10:57:44","C","A"
"SARI-Diedi","SARI-Nan","SARI-Suyolo","-0.4241661","9.921878","2020-07-03 09:13:18","2020-11-19 06:51:59","A","C"
"CRI-Ligri","SARI-Tiemeh","CRI-Dadanyuie","-0.4692075","9.869295","2020-07-03 09:44:03","2020-11-19 10:50:34","B","A"
"CRI-Apomuden","SARI-Janlow","PGN16021-39","-0.4238615","9.922444","2020-07-03 10:33:11","2020-11-19 14:31:23","B","C"
"PG17362-N1","SARI-Suyolo","SARI-Nyumingre (Obare)","-0.4692613","9.869273","2020-07-03 11:05:07","2020-11-19 11:22:47","A","C"
"SARI-Diedi","SARI-Nyoriberi-gu","SARI-Janlow","-0.430996","10.04734","2020-07-03 15:47:38","2020-12-13 09:14:38","B","C"
"PG17265-N1","CRI-Okumkum","PGN16021-39","-0.4310332","10.04735","2020-07-03 15:51:16","2020-12-13 09:16:35","C","B"
"SARI-Tiemeh","SARI-Nyoriberi-gu","PG17305-N1","-0.4310913","10.04737","2020-07-03 15:49:19","2020-12-13 09:18:33","B","A"
"SARI-Nan","CRI-Apomuden","CRI-Ligri","-0.4310429","10.04733","2020-07-03 15:34:33","2020-12-01 13:59:31","A","C"
"SARI-Nyumingre (Obare)","CRI-Okumkum","PG17362-N1","-0.431043","10.04734","2020-07-03 15:24:30","2020-12-13 09:20:22","C","A"
"PG17265-N1","CRI-Dadanyuie","SARI-Nyumingre (Obare)","-0.428015","10.02067","2020-07-03 17:14:11","2020-11-25 08:03:37","A","B"
"SARI-Janlow","PG17305-N1","PG17362-N1","-0.42763","10.02088","2020-07-03 17:27:39","2020-11-25 08:30:35","A","C"
"SARI-Suyolo","SARI-Diedi","SARI-Tiemeh","-0.4276383","10.02089","2020-07-03 17:30:08","2020-11-25 08:39:47","C","B"
"SARI-Nan","CRI-Dadanyuie","SARI-Nyoriberi-gu","-0.4276067","10.0209","2020-07-03 17:32:03","2020-11-25 08:43:58","A","B"
"PGN16021-39","CRI-Ligri","CRI-Apomuden","-0.4276185","10.02091","2020-07-03 17:34:13","2020-11-25 08:35:27","C","A"
"SARI-Nyumingre (Obare)","CRI-Apomuden","SARI-Diedi","-0.4315753","10.06227","2020-07-03 16:21:51","2020-12-13 10:12:19","A","C"
"CRI-Dadanyuie","SARI-Janlow","SARI-Suyolo","-0.4315784","10.0623","2020-07-03 16:32:29","2020-12-13 10:18:55","C","A"
"SARI-Nyoriberi-gu","PGN16021-39","PG17265-N1","-0.4316","10.06229","2020-07-03 16:37:21","2020-12-13 10:22:26","B","A"
"PG17362-N1","SARI-Tiemeh","SARI-Nyoriberi-gu","-0.4316288","10.06232","2020-07-03 16:14:56","2020-12-13 10:24:40","A","C"
"CRI-Apomuden","SARI-Nan","CRI-Okumkum","-0.4315191","10.06224","2020-07-03 16:19:35","2020-12-13 10:27:43","B","C"
"PGN16021-39","SARI-Suyolo","PG17305-N1","-0.4315635","10.06227","2020-07-03 16:43:58","2020-12-13 10:29:41","C","A"
"CRI-Ligri","PG17265-N1","SARI-Nyumingre (Obare)","-0.4315567","10.06222","2020-07-03 16:35:11","2020-12-13 10:31:53","B","A"
"PG17305-N1","SARI-Janlow","SARI-Nan","-0.4315931","10.06226","2020-07-03 16:41:16","2020-12-13 10:34:30","A","B"
"CRI-Okumkum","SARI-Tiemeh","CRI-Dadanyuie","-0.4317012","10.06241","2020-07-03 16:24:14","2020-12-13 10:37:59","C","A"
"SARI-Diedi","PG17362-N1","PGN16021-39","-0.4316037","10.06228","2020-07-03 16:27:49","2020-12-13 10:40:53","A","C"
"SARI-Janlow","CRI-Ligri","SARI-Tiemeh","-0.5031416","9.965096","2020-07-17 10:17:36","2020-11-25 10:09:22","B","A"
"SARI-Nyoriberi-gu","PG17305-N1","CRI-Apomuden","-0.5031286","9.965108","2020-07-21 11:00:28","2020-11-25 12:33:25","A","C"
"CRI-Okumkum","SARI-Nyumingre (Obare)","SARI-Diedi","-0.503102","9.965102","2020-07-17 11:05:42","2020-11-25 11:32:10","A","C"
"SARI-Suyolo","PG17362-N1","CRI-Ligri","-0.5030684","9.96514","2020-07-17 11:03:07","2020-11-25 13:11:34","C","A"
"SARI-Nan","PGN16021-39","CRI-Dadanyuie","-0.4240433","9.922649","2020-07-21 11:03:27","2020-11-25 14:44:13","A","C"
"PG17305-N1","PG17265-N1","PG17362-N1","-0.5030612","9.96501","2020-07-21 10:52:18","2020-11-25 11:00:06","B","A"
"CRI-Ligri","SARI-Suyolo","SARI-Nyoriberi-gu","-0.5031099","9.965058","2020-07-17 11:11:35","2020-11-25 12:46:00","C","B"
"SARI-Nyumingre (Obare)","CRI-Apomuden","SARI-Janlow","-0.5031383","9.965092","2020-07-17 11:09:23","2020-11-25 12:22:42","A","B"
"CRI-Dadanyuie","SARI-Nyumingre (Obare)","SARI-Tiemeh","-0.5030315","9.965017","2020-07-17 10:59:52","2020-11-25 12:36:56","A","B"
"PG17362-N1","CRI-Okumkum","PG17265-N1","-0.5031039","9.965067","2020-07-17 10:04:42","2020-11-25 10:54:00","A","C"
"SARI-Nyoriberi-gu","CRI-Dadanyuie","SARI-Janlow","-0.5029798","9.965063","2020-07-17 10:55:31","2020-11-25 11:10:15","C","B"
"PG17265-N1","CRI-Apomuden","PGN16021-39","-0.4225233","9.920092","2020-07-20 14:32:30","2020-12-13 17:47:54","A","B"
"SARI-Tiemeh","SARI-Suyolo","CRI-Okumkum","-0.4225333","9.920087","2020-07-20 14:27:27","2020-12-13 17:49:15","B","C"
"CRI-Dadanyuie","CRI-Ligri","SARI-Diedi","-0.3976377","9.856696","2020-07-02 17:37:48","2020-11-22 07:51:35","B","A"
"PG17362-N1","SARI-Nyoriberi-gu","SARI-Nan","-0.397563","9.856737","2020-07-02 18:46:30","2020-11-22 07:19:51","C","A"
"PGN16021-39","SARI-Nyumingre (Obare)","CRI-Ligri","-0.3975465","9.856846","2020-07-02 16:10:10","2020-11-22 07:57:35","B","C"
"PG17305-N1","SARI-Nan","SARI-Suyolo","-0.3975467","9.856737","2020-07-02 18:44:32","2020-11-22 08:20:35","C","B"
"CRI-Apomuden","SARI-Janlow","CRI-Okumkum","-0.3974863","9.856737","2020-07-02 16:38:23","2020-11-22 08:28:59","B","C"
"SARI-Tiemeh","SARI-Diedi","SARI-Nyumingre (Obare)","-0.3975722","9.856711","2020-07-02 17:07:10","2020-11-22 08:18:41","A","B"
"PG17265-N1","SARI-Tiemeh","PG17362-N1","-0.3975939","9.856703","2020-07-02 18:09:08","2020-11-22 07:47:01","A","B"
"SARI-Janlow","PG17305-N1","CRI-Dadanyuie","-0.3975222","9.856767","2020-07-02 17:55:30","2020-11-22 08:01:12","B","A"
"CRI-Ligri","SARI-Diedi","SARI-Nyoriberi-gu","-0.3975465","9.856713","2020-07-02 18:12:41","2020-11-22 07:42:09","C","B"
"SARI-Suyolo","CRI-Okumkum","SARI-Nan","-0.3975404","9.856741","2020-07-02 18:34:52","2020-11-22 08:27:17","A","C"
"SARI-Nyumingre (Obare)","PGN16021-39","PG17265-N1","-0.3975993","9.856801","2020-07-02 16:51:49","2020-11-22 08:25:25","B","C"
"CRI-Okumkum","SARI-Tiemeh","SARI-Nyoriberi-gu","-0.2275367","9.906843","2020-07-17 11:02:03","2020-11-12 21:18:01","B","A"
"PGN16021-39","SARI-Diedi","SARI-Suyolo","-0.2274633","9.906755","2020-07-17 11:04:59","2020-11-12 21:25:25","B","A"
"CRI-Apomuden","SARI-Nan","PG17305-N1","-0.2273233","9.9068","2020-07-17 11:06:32","2020-11-12 20:36:59","A","C"
"PG17305-N1","SARI-Nyumingre (Obare)","CRI-Okumkum","-0.2274633","9.906743","2020-07-17 14:17:28","2020-11-12 20:59:46","B","C"
"SARI-Diedi","SARI-Tiemeh","PG17362-N1","-0.22766","9.90662","2020-07-17 14:19:12","2020-11-12 21:07:56","C","B"
"SARI-Janlow","SARI-Nyoriberi-gu","SARI-Suyolo","-0.227475","9.906735","2020-07-17 14:21:01","2020-11-12 21:13:56","A","C"
"CRI-Apomuden","CRI-Okumkum","CRI-Dadanyuie","-0.096835","9.981458","2020-07-17 13:31:57","2020-11-12 07:55:40","A","C"
"PG17265-N1","SARI-Nan","SARI-Diedi","-0.098105","9.984492","2020-07-17 13:34:33","2020-11-12 09:18:38","B","C"
"SARI-Tiemeh","PG17362-N1","PGN16021-39","-0.09612667","9.984603","2020-07-25 14:04:52","2020-11-12 08:41:41","C","B"
"CRI-Okumkum","SARI-Janlow","PG17265-N1","-0.216135","9.92095","2020-08-24 08:07:30","2020-11-14 16:52:11","A","B"
"CRI-Ligri","CRI-Apomuden","SARI-Tiemeh","-0.084395","9.93856","2020-08-24 08:01:09","2020-11-21 10:08:37","C","A"
"PG17362-N1","SARI-Janlow","SARI-Nyoriberi-gu","-0.2161017","9.92091","2020-08-24 08:05:08","2020-11-14 17:30:27","B","C"
"PGN16021-39","SARI-Diedi","CRI-Okumkum","-0.2161217","9.920935","2020-08-26 07:31:49","2020-11-14 17:36:23","C","A"
"PG17265-N1","SARI-Suyolo","SARI-Nyumingre (Obare)","-0.21571","9.920627","2020-07-21 15:36:25","2020-11-15 11:46:52","B","A"
"PG17362-N1","PG17265-N1","CRI-Apomuden","-0.2157117","9.920668","2020-07-21 15:56:08","2020-11-15 11:52:08","A","C"
"PG17305-N1","SARI-Nan","PGN16021-39","-0.215765","9.920635","2020-07-21 16:02:23","2020-11-15 12:02:19","C","B"
"SARI-Nyoriberi-gu","CRI-Okumkum","CRI-Ligri","-0.2780867","9.930352","2020-07-17 15:46:07","2020-11-10 11:31:49","C","A"
"CRI-Apomuden","CRI-Ligri","SARI-Suyolo","-0.2179417","9.920367","2020-07-21 12:54:51","2020-11-14 08:17:54","C","A"
"SARI-Diedi","SARI-Nyumingre (Obare)","SARI-Nan","-0.217965","9.920372","2020-07-21 12:51:25","2020-11-14 08:24:38","C","A"
"SARI-Diedi","PGN16021-39","SARI-Janlow","-0.2153667","9.920718","2020-07-21 11:42:06","2020-11-15 12:21:39","A","B"
"SARI-Suyolo","PG17265-N1","SARI-Nyoriberi-gu","-0.2056083","9.931393","2020-07-21 16:38:16","2020-11-13 14:06:49","A","C"
"CRI-Dadanyuie","PG17305-N1","PG17362-N1","-0.2274217","9.906768","2020-07-21 16:24:21","2020-11-17 06:05:47","A","B"
"SARI-Nan","CRI-Apomuden","SARI-Tiemeh","-0.2174067","9.920208","2020-07-21 16:29:03","2020-11-15 15:24:01","B","C"
"CRI-Okumkum","SARI-Tiemeh","SARI-Diedi","-0.21741","9.920173","2020-07-21 16:35:38","2020-11-15 16:28:01","B","C"
"SARI-Nyoriberi-gu","SARI-Nyumingre (Obare)","PG17305-N1","-0.2174317","9.92017","2020-07-21 15:05:15","2020-11-15 16:32:34","A","C"
"CRI-Ligri","PG17265-N1","CRI-Apomuden","-0.217285","9.920145","2020-07-21 14:56:00","2020-11-15 16:35:22","C","B"
"PG17362-N1","SARI-Suyolo","CRI-Okumkum","-0.22752","9.906773","2020-07-21 14:40:34","2020-11-17 06:12:37","B","C"
"PG17362-N1","PG17265-N1","SARI-Nan","-0.6978689","9.568213","2020-06-21 17:52:44","2020-11-12 09:01:52","A","B"
"SARI-Suyolo","SARI-Nyumingre (Obare)","CRI-Apomuden","-0.697902","9.568263","2020-06-21 17:56:56","2020-11-12 09:09:01","B","C"
"SARI-Tiemeh","SARI-Nyoriberi-gu","PG17305-N1","-0.67617","9.580314","2020-06-21 11:16:39","2020-11-12 11:06:45","A","B"
"SARI-Janlow","CRI-Okumkum","CRI-Dadanyuie","-0.6761619","9.580282","2020-06-21 11:20:41","2020-11-12 11:09:10","C","B"
"PG17305-N1","PGN16021-39","CRI-Ligri","-0.6761861","9.580293","2020-06-21 11:22:58","2020-11-12 11:10:50","C","A"
"CRI-Ligri","SARI-Tiemeh","SARI-Diedi","-0.676168","9.580318","2020-06-21 11:24:53","2020-11-12 11:13:31","B","C"
"CRI-Apomuden","SARI-Janlow","PG17362-N1","-0.6761878","9.580347","2020-06-21 11:29:01","2020-11-12 11:18:40","C","A"
"SARI-Nan","SARI-Suyolo","CRI-Okumkum","-0.6901861","9.573897","2020-06-21 10:18:12","2020-11-12 10:50:24","B","A"
"SARI-Nyumingre (Obare)","SARI-Diedi","PGN16021-39","-0.6901829","9.573901","2020-06-21 10:25:48","2020-11-12 10:52:30","B","A"
"SARI-Nyoriberi-gu","CRI-Okumkum","PG17265-N1","-0.6901621","9.573885","2020-06-21 10:28:58","2020-11-12 10:29:47","B","C"
"CRI-Dadanyuie","PG17362-N1","SARI-Diedi","-0.6901594","9.573884","2020-06-21 10:32:16","2020-11-12 10:33:37","B","C"
"PG17265-N1","PGN16021-39","SARI-Nyumingre (Obare)","-0.6901789","9.573906","2020-06-21 10:34:49","2020-11-12 10:36:20","C","B"
"SARI-Janlow","SARI-Suyolo","SARI-Nyoriberi-gu","-0.6901996","9.573936","2020-06-21 10:38:44","2020-11-12 10:38:37","B","C"
"CRI-Apomuden","CRI-Ligri","SARI-Tiemeh","-0.690191","9.573894","2020-06-21 10:41:57","2020-11-12 10:44:15","A","B"
"PG17305-N1","SARI-Nan","CRI-Dadanyuie","-0.6901778","9.573902","2020-06-21 10:45:05","2020-11-12 10:54:34","C","B"
"SARI-Diedi","PG17305-N1","CRI-Okumkum","-0.7581175","9.597695","2020-06-20 17:44:22","2020-11-09 14:38:00","B","C"
"PG17265-N1","SARI-Nyumingre (Obare)","CRI-Ligri","-0.7580537","9.598038","2020-06-20 17:48:12","2020-11-09 14:11:25","C","B"
"SARI-Nyoriberi-gu","PG17362-N1","SARI-Janlow","-0.7581627","9.597976","2020-06-20 17:53:11","2020-11-09 14:17:11","A","C"
"SARI-Nan","CRI-Dadanyuie","SARI-Suyolo","-0.7581613","9.598005","2020-06-20 17:55:45","2020-11-09 14:23:18","B","A"
"PGN16021-39","CRI-Apomuden","CRI-Dadanyuie","-0.7581578","9.598064","2020-06-20 18:02:29","2020-11-09 14:28:48","A","B"
"SARI-Suyolo","SARI-Tiemeh","SARI-Nyumingre (Obare)","-0.7580676","9.598046","2020-06-20 18:08:23","2020-11-09 14:34:07","B","A"
"CRI-Okumkum","CRI-Ligri","SARI-Diedi","-0.7275917","9.549722","2020-06-21 10:08:21","2020-11-06 20:10:05","A","C"
"SARI-Nyoriberi-gu","PG17305-N1","PG17265-N1","-0.72766","9.549752","2020-06-21 10:20:57","2020-11-06 17:41:30","B","C"
"PGN16021-39","SARI-Janlow","CRI-Apomuden","-0.743845","9.567918","2020-06-21 11:08:29","2020-11-12 08:36:56","C","B"
"SARI-Tiemeh","SARI-Nan","PG17362-N1","-0.7405517","9.582691","2020-06-21 10:16:57","2020-11-12 08:50:41","B","A"
"CRI-Okumkum","PG17265-N1","CRI-Apomuden","-0.7587065","9.592353","2020-06-20 16:44:24","2020-11-09 14:51:35","B","C"
"CRI-Ligri","SARI-Diedi","SARI-Nan","-0.7583863","9.592555","2020-06-20 16:54:56","2020-11-09 15:06:42","A","C"
"PG17362-N1","SARI-Nyumingre (Obare)","PG17305-N1","-0.7638561","9.585873","2020-06-20 17:01:00","2020-11-09 15:35:19","B","A"
"SARI-Tiemeh","SARI-Nyoriberi-gu","PGN16021-39","-0.7582189","9.59134","2020-06-20 17:04:14","2020-11-09 15:19:57","B","C"
"CRI-Dadanyuie","CRI-Ligri","SARI-Suyolo","-0.757155","9.59208","2020-06-20 17:20:49","2020-11-09 13:57:51","C","A"
"SARI-Nyumingre (Obare)","CRI-Dadanyuie","SARI-Janlow","-0.7592501","9.58898","2020-06-20 17:28:44","2020-11-09 15:48:00","C","B"
"SARI-Suyolo","CRI-Apomuden","SARI-Nyoriberi-gu","-0.7539249","9.592065","2020-06-20 17:24:46","2020-11-09 13:37:45","C","B"
"SARI-Diedi","SARI-Nan","CRI-Okumkum","-0.7583321","9.592569","2020-06-20 17:32:41","2020-11-09 15:01:25","B","C"
"SARI-Janlow","PG17305-N1","PG17265-N1","-0.7158937","9.500415","2020-06-20 13:42:17","2020-11-10 09:14:04","A","C"
"PG17362-N1","PG17265-N1","PGN16021-39","-0.7148774","9.503751","2020-06-20 13:46:42","2020-11-10 10:29:21","C","A"
"SARI-Nyumingre (Obare)","CRI-Okumkum","SARI-Tiemeh","-0.7161933","9.499498","2020-06-20 13:51:11","2020-11-10 09:36:26","C","A"
"CRI-Apomuden","SARI-Diedi","PG17362-N1","-0.7179398","9.493459","2020-06-20 13:55:13","2020-11-10 08:33:27","A","C"
"SARI-Nan","SARI-Suyolo","SARI-Tiemeh","-0.7200081","9.502963","2020-06-20 13:59:29","2020-11-10 10:50:53","B","A"
"PG17305-N1","CRI-Dadanyuie","CRI-Ligri","-0.7142136","9.500376","2020-06-20 14:03:31","2020-11-10 10:00:25","C","A"
"PGN16021-39","SARI-Nyoriberi-gu","SARI-Suyolo","-0.6603492","9.658021","2020-06-21 14:51:42","2020-11-18 11:26:59","A","B"
"CRI-Ligri","SARI-Janlow","SARI-Nyoriberi-gu","-0.6603321","9.657973","2020-06-21 14:53:55","2020-11-18 11:29:56","C","B"
"CRI-Dadanyuie","PGN16021-39","SARI-Nyumingre (Obare)","-0.7037689","9.663931","2020-06-21 15:24:31","2020-11-19 09:46:17","B","A"
"SARI-Diedi","SARI-Tiemeh","SARI-Janlow","-0.7037847","9.66387","2020-06-21 15:27:15","2020-11-19 09:48:09","B","A"
"CRI-Okumkum","CRI-Apomuden","SARI-Nan","-0.7037727","9.66392","2020-06-21 15:29:24","2020-11-19 09:50:15","B","C"
"PG17265-N1","SARI-Suyolo","PG17305-N1","-0.7037537","9.663942","2020-06-21 15:31:45","2020-11-19 09:55:14","A","C"
"PG17305-N1","PG17362-N1","CRI-Okumkum","-0.7037506","9.663958","2020-06-21 15:35:01","2020-11-19 09:57:31","A","C"
"SARI-Nan","SARI-Nyumingre (Obare)","CRI-Apomuden","-0.6972788","9.651887","2020-06-21 16:22:05","2020-11-19 10:08:37","C","A"
"SARI-Nyoriberi-gu","PG17362-N1","SARI-Diedi","-0.6972441","9.65189","2020-06-21 16:24:20","2020-11-19 10:11:08","B","C"
"SARI-Tiemeh","PG17265-N1","CRI-Dadanyuie","-0.6972399","9.651884","2020-06-21 16:29:04","2020-11-19 10:13:04","B","A"
"SARI-Janlow","CRI-Apomuden","CRI-Ligri","-0.6604388","9.658022","2020-06-21 14:55:50","2020-11-18 11:31:15","B","A"
"SARI-Suyolo","SARI-Janlow","PGN16021-39","-0.6604294","9.658026","2020-06-21 14:58:01","2020-11-18 11:32:38","B","C"
"PG17265-N1","CRI-Ligri","SARI-Nyoriberi-gu","-0.6972983","9.65189","2020-06-21 16:26:47","2020-11-19 10:14:57","A","B"
"SARI-Nyumingre (Obare)","SARI-Tiemeh","PG17305-N1","-0.6972675","9.651879","2020-06-21 16:31:03","2020-11-19 10:16:59","B","A"
"CRI-Dadanyuie","SARI-Diedi","SARI-Janlow","-0.7037499","9.663948","2020-06-21 15:37:58","2020-11-19 09:59:26","C","A"
"CRI-Apomuden","CRI-Okumkum","PGN16021-39","-0.6960555","9.586618","2020-06-21 08:39:08","2020-11-12 11:41:07","A","C"
"SARI-Janlow","SARI-Nan","PG17362-N1","-0.6959958","9.586596","2020-06-21 08:44:41","2020-11-12 11:44:35","B","C"
"CRI-Okumkum","CRI-Dadanyuie","SARI-Tiemeh","-0.6959903","9.586579","2020-06-21 08:47:20","2020-11-12 11:53:44","B","A"
"SARI-Suyolo","SARI-Nan","SARI-Nyumingre (Obare)","-0.6959949","9.586574","2020-06-21 08:49:46","2020-11-12 12:06:01","C","A"
"SARI-Diedi","SARI-Nyoriberi-gu","PG17305-N1","-0.6959925","9.586576","2020-06-21 08:51:38","2020-11-12 12:09:51","B","C"
"PG17362-N1","PGN16021-39","CRI-Ligri","-0.6959909","9.58658","2020-06-21 08:54:12","2020-11-12 12:14:11","A","B"
"CRI-Apomuden","SARI-Diedi","PG17265-N1","-0.6959923","9.586585","2020-06-21 08:58:16","2020-11-12 12:17:09","C","B"
"PG17265-N1","CRI-Okumkum","SARI-Suyolo","-0.6276522","9.599281","2020-06-21 12:54:47","2020-11-18 09:18:11","B","A"
"CRI-Ligri","SARI-Tiemeh","SARI-Nyoriberi-gu","-0.6278556","9.599543","2020-06-21 12:59:36","2020-11-18 09:29:38","B","A"
"PGN16021-39","PG17305-N1","SARI-Nan","-0.6278598","9.59953","2020-06-21 13:02:46","2020-11-18 09:34:09","C","A"
"SARI-Nyumingre (Obare)","CRI-Apomuden","CRI-Dadanyuie","-0.6279001","9.599581","2020-06-21 13:05:59","2020-11-18 09:41:45","A","B"
"PG17362-N1","SARI-Janlow","SARI-Nyumingre (Obare)","-0.6278692","9.599551","2020-06-21 13:09:04","2020-11-18 09:36:50","C","B"
"SARI-Diedi","SARI-Suyolo","PG17362-N1","-0.6278718","9.599542","2020-06-21 13:13:14","2020-11-18 09:39:53","A","B"
"SARI-Nan","SARI-Nyoriberi-gu","CRI-Okumkum","-0.6308139","9.637626","2020-06-21 14:03:04","2020-11-18 10:05:32","A","C"
"PG17305-N1","PGN16021-39","SARI-Tiemeh","-0.6307745","9.637561","2020-06-21 14:10:23","2020-11-18 10:11:28","B","C"
"CRI-Dadanyuie","PG17265-N1","SARI-Nan","-0.6307899","9.637554","2020-06-21 14:22:11","2020-11-18 10:18:34","B","C"
"CRI-Ligri","PG17305-N1","SARI-Nyumingre (Obare)","-0.6307969","9.637599","2020-06-21 14:24:47","2020-11-18 10:21:01","A","B"
"PGN16021-39","PG17362-N1","CRI-Apomuden","-0.6308064","9.637595","2020-06-21 14:26:59","2020-11-18 10:23:50","A","B"
"CRI-Okumkum","CRI-Dadanyuie","SARI-Suyolo","-0.7006825","9.581505","2020-06-21 07:22:01","2020-11-11 09:25:46","B","C"
"SARI-Tiemeh","SARI-Janlow","PG17265-N1","-0.7006937","9.58152","2020-06-21 07:49:13","2020-11-11 09:36:24","B","C"
"SARI-Nyoriberi-gu","SARI-Nyumingre (Obare)","SARI-Diedi","-0.7006595","9.581543","2020-06-21 07:55:22","2020-11-11 08:52:52","C","B"
"SARI-Nan","CRI-Ligri","CRI-Apomuden","-0.7007009","9.581535","2020-06-21 08:00:51","2020-11-11 09:29:07","B","A"
"PG17265-N1","CRI-Okumkum","SARI-Janlow","-0.7006143","9.581501","2020-06-21 08:04:05","2020-11-11 09:14:36","C","A"
"SARI-Suyolo","PGN16021-39","SARI-Diedi","-0.75637","9.525943","2020-06-20 12:51:07","2020-11-11 14:04:10","C","B"
"SARI-Nyoriberi-gu","PG17362-N1","CRI-Dadanyuie","-0.7557001","9.525608","2020-06-20 12:57:10","2020-11-11 13:07:20","A","B"
"SARI-Tiemeh","CRI-Ligri","PG17362-N1","-0.7565903","9.525573","2020-06-20 13:01:58","2020-11-11 14:21:20","A","C"
"SARI-Janlow","PG17305-N1","SARI-Nan","-0.7557083","9.525567","2020-06-20 13:06:10","2020-11-11 14:57:26","A","B"
"PG17305-N1","SARI-Suyolo","CRI-Ligri","-0.755763","9.525564","2020-06-20 13:08:33","2020-11-11 14:34:36","C","A"
"CRI-Apomuden","SARI-Diedi","SARI-Tiemeh","-0.756269","9.526012","2020-06-20 13:11:20","2020-11-11 13:49:49","C","B"
"SARI-Nyumingre (Obare)","SARI-Nyoriberi-gu","CRI-Okumkum","-0.7100738","9.594608","2020-06-21 08:28:03","2020-11-11 15:51:02","C","A"
"SARI-Diedi","CRI-Dadanyuie","PG17265-N1","-0.7100721","9.594581","2020-06-21 08:34:46","2020-11-11 16:27:18","C","B"
"SARI-Nan","SARI-Nyumingre (Obare)","PGN16021-39","-0.7100718","9.594615","2020-06-22 06:40:10","2020-11-11 16:46:41","A","C"
"CRI-Dadanyuie","CRI-Apomuden","PG17305-N1","-0.7101183","9.594613","2020-06-21 08:37:26","2020-11-11 16:42:57","A","C"
"CRI-Okumkum","CRI-Ligri","SARI-Janlow","-0.7100863","9.594575","2020-06-21 08:42:07","2020-11-11 16:35:31","C","A"
"PGN16021-39","PG17265-N1","SARI-Suyolo","-0.7267652","9.59474","2020-06-21 09:05:09","2020-11-11 17:22:26","C","A"
"SARI-Tiemeh","SARI-Nan","SARI-Nyoriberi-gu","-0.7268287","9.594752","2020-06-21 09:10:08","2020-11-11 17:14:20","A","B"
"PG17362-N1","SARI-Tiemeh","SARI-Suyolo","-0.726795","9.59478","2020-06-21 09:13:44","2020-11-11 17:08:47","B","A"
"SARI-Janlow","SARI-Nyumingre (Obare)","SARI-Diedi","-0.7267543","9.594744","2020-06-22 06:58:48","2020-11-11 17:02:13","B","C"
"PG17305-N1","CRI-Okumkum","PGN16021-39","-0.7261817","9.555847","2020-06-20 08:32:52","2020-11-10 11:39:56","C","A"
"SARI-Nyoriberi-gu","CRI-Apomuden","CRI-Dadanyuie","-0.7274183","9.556983","2020-06-20 07:59:13","2020-11-10 12:06:02","B","C"
"CRI-Ligri","PG17362-N1","CRI-Okumkum","-0.7271317","9.556683","2020-06-20 07:54:28","2020-11-10 12:28:22","C","A"
"PGN16021-39","SARI-Diedi","PG17265-N1","-0.726195","9.55584","2020-06-20 08:49:19","2020-11-10 11:49:09","A","B"
