"item_A","item_B","item_C","lon","lat","start","end","overall_pos","overall_neg"
"CRI-Ligri","SARI-Tiemeh","SARI-Nyumingre (Obare)","-1.057159","9.431859","2020-06-30 14:54:55","2020-12-02 13:16:18","C","B"
"SARI-Diedi","SARI-Nan","SARI-Janlow","-0.9753458","9.407084","2020-06-30 13:55:23","2020-12-22 06:52:17","B","C"
"CRI-Apomuden","SARI-Suyolo","CRI-Okumkum","-0.9654904","9.403988","2020-06-30 10:43:45","2020-12-22 06:50:17","C","B"
"CRI-Dadanyuie","CRI-Ligri","SARI-Suyolo","-1.12792","9.487624","2020-06-30 11:29:47","2020-12-17 10:37:32","C","A"
"PG17265-N1","CRI-Apomuden","SARI-Diedi","-1.136928","9.485295","2020-06-30 11:46:25","2020-12-17 12:15:18","B","C"
"SARI-Nyoriberi-gu","SARI-Diedi","CRI-Dadanyuie","-0.8389619","9.458051","2020-06-30 14:09:17","2020-11-17 12:31:46","C","A"
"SARI-Tiemeh","PG17265-N1","SARI-Nyoriberi-gu","-1.052702","9.425171","2020-06-30 14:49:28","2020-12-02 12:38:32","A","B"
"CRI-Okumkum","CRI-Dadanyuie","SARI-Nan","-1.13755","9.486628","2020-06-30 11:41:02","2020-12-17 11:52:53","B","A"
"PG17362-N1","CRI-Ligri","SARI-Diedi","-1.134884","9.486873","2020-06-30 11:54:03","2020-12-17 12:22:41","B","C"
"CRI-Ligri","SARI-Nyumingre (Obare)","PG17362-N1","-1.057329","9.432073","2020-06-30 14:21:19","2020-11-26 16:27:50","C","A"
"SARI-Nan","SARI-Tiemeh","SARI-Suyolo","-1.057111","9.432129","2020-06-30 13:58:00","2020-12-02 13:42:09","C","B"
"SARI-Nyumingre (Obare)","CRI-Apomuden","CRI-Dadanyuie","-1.057233","9.43174","2020-06-30 13:40:37","2020-12-02 13:05:01","C","A"
"PG17362-N1","SARI-Tiemeh","CRI-Ligri","-1.134816","9.486873","2020-06-30 11:32:42","2020-12-17 12:28:17","A","C"
"CRI-Okumkum","CRI-Dadanyuie","SARI-Janlow","-1.057162","9.432003","2020-06-30 14:03:15","2020-12-02 13:37:58","C","B"
"SARI-Nyoriberi-gu","SARI-Diedi","SARI-Nyumingre (Obare)","-1.081503","9.434819","2020-06-30 13:40:10","2020-12-17 10:06:44","C","A"
"PGN16021-39","SARI-Suyolo","PG17265-N1","-1.055534","9.430824","2020-07-14 12:12:18","2020-12-17 14:36:13","A","B"
"SARI-Tiemeh","SARI-Nyoriberi-gu","SARI-Diedi","-1.027345","9.462272","2020-06-20 13:29:53","2020-11-18 08:10:54","B","C"
"SARI-Janlow","SARI-Nan","CRI-Dadanyuie","-1.027292","9.462278","2020-06-20 13:36:53","2020-11-18 08:17:22","A","B"
"SARI-Suyolo","PG17305-N1","CRI-Apomuden","-1.027373","9.462292","2020-06-20 13:46:30","2020-11-18 08:05:01","A","B"
"PG17265-N1","SARI-Nyumingre (Obare)","CRI-Ligri","-1.027287","9.462265","2020-06-20 13:52:51","2020-11-18 08:30:09","C","A"
"PG17362-N1","CRI-Dadanyuie","CRI-Okumkum","-1.01456","9.46802","2020-06-20 12:19:41","2020-11-18 07:13:39","B","A"
"SARI-Nyoriberi-gu","PGN16021-39","SARI-Nan","-0.976625","9.401952","2020-06-20 12:31:22","2020-11-18 19:51:05","A","C"
"CRI-Okumkum","SARI-Diedi","PG17265-N1","-1.014753","9.46791","2020-06-20 12:39:49","2020-11-18 07:21:45","C","A"
"SARI-Nyumingre (Obare)","SARI-Tiemeh","PG17362-N1","-1.027232","9.462235","2020-06-20 12:46:17","2020-11-18 07:51:22","C","B"
"PG17305-N1","CRI-Apomuden","SARI-Janlow","-1.018913","9.443965","2020-07-07 12:13:34","2020-11-18 09:44:47","B","A"
"SARI-Nan","SARI-Suyolo","PGN16021-39","-1.018898","9.444085","2020-07-07 12:06:00","2020-11-18 10:18:50","A","B"
"SARI-Nyoriberi-gu","CRI-Ligri","PG17305-N1","-1.018898","9.443978","2020-07-07 11:50:10","2020-11-18 09:30:35","A","C"
"PGN16021-39","PG17362-N1","SARI-Suyolo","-1.018897","9.44402","2020-07-07 11:41:34","2020-11-18 10:29:35","A","B"
"SARI-Janlow","CRI-Okumkum","SARI-Nyumingre (Obare)","-0.94135","9.457373","2020-06-19 14:10:13","2020-11-14 13:08:46","A","C"
"CRI-Apomuden","PG17265-N1","SARI-Tiemeh","-0.9412283","9.457325","2020-06-19 14:19:02","2020-11-14 13:17:37","A","C"
"CRI-Dadanyuie","PG17265-N1","CRI-Ligri","-0.941235","9.457448","2020-06-19 14:43:20","2020-11-14 13:25:59","C","A"
"SARI-Diedi","SARI-Tiemeh","SARI-Nyumingre (Obare)","-0.9370933","9.462978","2020-06-19 14:52:45","2020-11-14 13:48:07","C","A"
"SARI-Nan","SARI-Janlow","SARI-Diedi","-0.9372183","9.472217","2020-06-19 12:21:06","2020-11-09 11:36:57","B","C"
"CRI-Ligri","PG17305-N1","CRI-Okumkum","-0.9371583","9.472275","2020-06-19 12:32:22","2020-11-09 10:57:04","A","B"
"SARI-Suyolo","PG17362-N1","SARI-Nyoriberi-gu","-0.9525817","9.45769","2020-06-19 12:43:58","2020-11-14 14:08:10","B","C"
"SARI-Nyumingre (Obare)","CRI-Dadanyuie","PGN16021-39","-0.937095","9.472042","2020-06-19 11:55:47","2020-11-09 10:25:31","C","A"
"CRI-Apomuden","PGN16021-39","SARI-Tiemeh","-0.9766467","9.401927","2020-07-07 13:21:08","2020-11-20 12:42:42","A","C"
"PG17305-N1","SARI-Diedi","CRI-Dadanyuie","-0.9566483","9.455808","2020-07-07 13:14:07","2020-11-09 12:41:50","B","C"
"PG17265-N1","CRI-Okumkum","SARI-Nyoriberi-gu","-0.937115","9.472205","2020-06-24 13:17:26","2020-11-09 11:25:04","A","B"
"SARI-Tiemeh","SARI-Janlow","SARI-Suyolo","-1.03835","9.455343","2020-06-19 16:51:48","2020-11-09 16:22:57","B","C"
"PG17305-N1","SARI-Nan","PG17265-N1","-1.0386","9.455385","2020-06-19 16:44:54","2020-11-09 15:54:52","A","C"
"SARI-Diedi","SARI-Nyumingre (Obare)","CRI-Apomuden","-1.038573","9.455488","2020-06-19 16:25:12","2020-11-09 15:41:25","A","B"
"PGN16021-39","SARI-Janlow","SARI-Nan","-1.038498","9.455335","2020-06-19 16:35:38","2020-11-09 16:28:02","B","A"
"CRI-Okumkum","SARI-Suyolo","CRI-Dadanyuie","-1.013562","9.446003","2020-06-20 11:06:37","2020-11-16 08:51:53","C","B"
"CRI-Ligri","SARI-Nyoriberi-gu","SARI-Nan","-1.013388","9.446218","2020-06-20 11:21:55","2020-11-16 09:21:22","B","C"
"PG17362-N1","SARI-Nyumingre (Obare)","PG17305-N1","-1.013513","9.446283","2020-06-20 11:28:43","2020-11-16 09:00:14","C","B"
"SARI-Janlow","CRI-Ligri","PG17362-N1","-1.013492","9.446337","2020-06-20 11:36:04","2020-11-16 09:06:54","A","C"
"SARI-Tiemeh","CRI-Apomuden","SARI-Nyoriberi-gu","-0.9899983","9.42132","2020-06-15 14:49:50","2020-11-14 08:45:04","C","B"
"CRI-Okumkum","PGN16021-39","SARI-Diedi","-0.989935","9.421292","2020-06-19 10:02:29","2020-11-14 08:53:46","B","A"
"CRI-Dadanyuie","SARI-Suyolo","PG17265-N1","-0.9899567","9.421022","2020-06-19 10:29:24","2020-11-14 08:35:25","A","C"
"SARI-Nyoriberi-gu","CRI-Dadanyuie","SARI-Janlow","-0.9770833","9.401933","2020-06-19 10:35:07","2020-11-14 16:51:16","C","A"
"SARI-Suyolo","SARI-Tiemeh","PG17305-N1","-1.03237","9.457252","2020-07-07 11:03:33","2020-11-14 10:33:53","B","C"
"SARI-Nyumingre (Obare)","PG17265-N1","PGN16021-39","-1.032903","9.457512","2020-07-07 11:09:16","2020-11-14 10:10:31","A","B"
"SARI-Nan","CRI-Apomuden","CRI-Okumkum","-1.032522","9.457472","2020-06-24 11:22:43","2020-11-14 10:20:26","A","C"
"CRI-Ligri","SARI-Diedi","PG17362-N1","-1.032305","9.457388","2020-06-24 11:13:16","2020-11-14 11:01:34","B","C"
"CRI-Apomuden","PG17305-N1","SARI-Diedi","-1.032455","9.457195","2020-07-07 10:55:37","2020-11-14 10:54:36","A","B"
"SARI-Tiemeh","SARI-Nan","SARI-Nyumingre (Obare)","-1.001753","9.43897","2020-06-24 12:07:14","2020-11-12 14:54:58","A","C"
"PGN16021-39","PG17362-N1","SARI-Janlow","-1.001632","9.438898","2020-07-07 12:36:11","2020-11-12 14:19:35","A","B"
"PG17265-N1","SARI-Nyoriberi-gu","CRI-Ligri","-1.001822","9.438938","2020-06-24 12:23:52","2020-11-12 14:44:23","B","A"
"CRI-Dadanyuie","CRI-Okumkum","PGN16021-39","-1.001602","9.438992","2020-07-07 12:41:48","2020-11-12 14:31:35","C","B"
"SARI-Diedi","SARI-Nyoriberi-gu","SARI-Suyolo","-1.033122","9.545945","2020-06-20 14:42:08","2020-11-13 14:05:43","C","A"
"SARI-Janlow","PG17265-N1","CRI-Dadanyuie","-1.02058","9.551212","2020-06-20 14:50:11","2020-11-13 14:14:48","C","B"
"PG17305-N1","PG17362-N1","SARI-Tiemeh","-1.033243","9.545803","2020-06-20 14:55:47","2020-11-13 14:24:21","C","B"
"SARI-Suyolo","SARI-Nyumingre (Obare)","CRI-Ligri","-1.033252","9.545988","2020-06-20 15:01:54","2020-11-13 14:46:01","A","B"
"SARI-Nan","CRI-Dadanyuie","CRI-Apomuden","-1.032925","9.545903","2020-06-20 15:07:37","2020-11-13 14:35:28","B","C"
"CRI-Okumkum","SARI-Suyolo","PG17305-N1","-0.9990717","9.544588","2020-07-07 10:06:19","2020-11-16 06:52:33","C","A"
"CRI-Ligri","SARI-Diedi","SARI-Nan","-1.001873","9.543977","2020-06-24 08:55:26","2020-11-11 07:51:08","C","A"
"PG17362-N1","CRI-Apomuden","SARI-Nyumingre (Obare)","-1.00933","9.54906","2020-06-29 13:15:45","2020-11-11 07:17:09","B","C"
"PGN16021-39","SARI-Janlow","SARI-Tiemeh","-1.008155","9.548822","2020-06-29 13:19:44","2020-11-11 07:13:11","B","A"
"SARI-Nan","PGN16021-39","CRI-Okumkum","-0.9434083","9.564603","2020-07-07 12:40:52","2020-11-11 10:56:40","A","C"
"CRI-Apomuden","CRI-Ligri","SARI-Nyoriberi-gu","-0.9489467","9.569033","2020-06-24 12:59:37","2020-11-12 08:35:04","C","B"
"SARI-Diedi","SARI-Janlow","PG17362-N1","-0.9433617","9.564592","2020-06-24 13:10:07","2020-11-11 10:57:53","B","A"
"PG17265-N1","SARI-Tiemeh","CRI-Okumkum","-0.9209883","9.515162","2020-06-24 15:51:07","2020-11-11 11:21:27","B","C"
"CRI-Dadanyuie","SARI-Tiemeh","CRI-Apomuden","-1.008983","9.534002","2020-06-24 09:19:28","2020-11-11 08:15:48","A","C"
"PG17305-N1","SARI-Nyumingre (Obare)","CRI-Ligri","-1.005683","9.536203","2020-07-07 09:46:14","2020-11-11 08:08:05","B","A"
"SARI-Diedi","CRI-Okumkum","SARI-Suyolo","-0.9669233","9.567727","2020-06-24 08:06:51","2020-11-11 09:42:01","A","B"
"SARI-Janlow","SARI-Nyoriberi-gu","PGN16021-39","-0.9651933","9.564312","2020-07-07 08:45:03","2020-11-11 09:38:45","A","B"
"PG17265-N1","CRI-Ligri","SARI-Diedi","-0.96522","9.564265","2020-06-24 08:02:14","2020-11-12 10:11:16","C","B"
"SARI-Nyoriberi-gu","CRI-Dadanyuie","PG17305-N1","-0.9752917","9.599447","2020-07-07 08:26:33","2020-11-11 10:05:01","C","A"
"SARI-Suyolo","CRI-Apomuden","SARI-Nan","-0.976645","9.598748","2020-06-24 08:28:11","2020-11-11 10:14:42","A","C"
"PGN16021-39","SARI-Diedi","PG17265-N1","-0.9994767","9.595595","2020-07-07 11:48:21","2020-11-12 09:33:42","C","A"
"SARI-Nyumingre (Obare)","CRI-Apomuden","SARI-Nyoriberi-gu","-0.9985133","9.594595","2020-06-24 10:34:22","2020-11-19 07:43:12","C","A"
"CRI-Okumkum","SARI-Janlow","SARI-Tiemeh","-0.9901367","9.558342","2020-06-24 10:04:24","2020-11-11 06:56:00","C","A"
