_geopoint,_longitude,_latitude,_elevation,_precision,householdid,country,District,sublocation,village
-1.6279756 29.4686844 2375.10009765625 9.0,29.4686844,-1.6279756,2375.1,9,53,Rwanda,Nyabihu,Jenda,Kabatezi
-1.6281365 29.4676229 2369.699951171875 10.0,29.4676229,-1.6281365,2369.7,10,54,Rwanda,Nyabihu,Jenda,Bukinanyana
-1.6182133 29.4644383 2409.8 7.9,29.4644383,-1.6182133,2409.8,7.9,55,Rwanda,Nyabihu,Jenda,Nsakira
-1.619445 29.4706152 2387.89990234375 10.0,29.4706152,-1.619445,2387.9,10,56,Rwanda,Nyabihu,Jenda,Nyirakigugu
-1.622085 29.4681583 2400.5 9.25,29.4681583,-1.622085,2400.5,9.25,57,Rwanda,Nyabihu,Jenda,Kagaga
-1.6273067 29.4665632 2366.9 8.7,29.4665632,-1.6273067,2366.9,8.7,58,Rwanda,Nyabihu,Jenda,Kibaya
-1.6233513 29.4614294 2383.5 10.0,29.4614294,-1.6233513,2383.5,10,59,Rwanda,Nyabihu,Jenda,Bukinanyana
-1.624775 29.4721186 2350.6 9.325,29.4721186,-1.624775,2350.6,9.325,60,Rwanda,Nyabihu,Jenda,Nyamutukura
-2.3763922 29.4063752 2389.300048828125 9.916,29.4063752,-2.3763922,2389.3,9.916,61,Rwanda,Nyamagabe,Gatare,Muhingo
-2.3780332 29.4057474 2402.10009765625 9.9,29.4057474,-2.3780332,2402.1,9.9,62,Rwanda,Nyamagabe,Gatare,Muhingo
-2.3812177 29.4115071 2394.39990234375 8.0,29.4115071,-2.3812177,2394.4,8,63,Rwanda,Nyamagabe,Gatare,Muhingo
-2.3734044 29.4043295 2388.0 7.5,29.4043295,-2.3734044,2388,7.5,64,Rwanda,Nyamagabe,Gatare,Kiyovu
-2.3883424 29.40682 2454.10009765625 9.9,29.40682,-2.3883424,2454.1,9.9,65,Rwanda,Nyamagabe,Gatare,Kagano
-2.3817063 29.4099585 2413.5 9.5,29.4099585,-2.3817063,2413.5,9.5,66,Rwanda,Nyamagabe,Gatare,Muhingo
-2.3841768 29.4065076 2414.60009765625 9.8,29.4065076,-2.3841768,2414.6,9.8,67,Rwanda,Nyamagabe,Buruhukiro,Muhingo
-2.3900384 29.4080772 2478.199951171875 9.7,29.4080772,-2.3900384,2478.2,9.7,68,Rwanda,Nyamagabe,Buruhukiro,Kagano
-2.3862095 29.4062548 2476.800048828125 9.5,29.4062548,-2.3862095,2476.8,9.5,69,Rwanda,Nyamagabe,Gatare,Kagano
-2.3842594 29.4068192 2436.699951171875 8.6,29.4068192,-2.3842594,2436.7,8.6,70,Rwanda,Nyamagabe,Gatare,Muhingo
-2.4467046 29.4329361 2245.39990234375 10.0,29.4329361,-2.4467046,2245.4,10,71,Rwanda,Nyamagabe,Buruhukiro,Bushigishigi
-2.4379066 29.4255304 2293.199951171875 9.5,29.4255304,-2.4379066,2293.2,9.5,72,Rwanda,Nyamagabe,Buruhukiro,Mugote
-2.4374762 29.4233104 2358.60009765625 9.5,29.4233104,-2.4374762,2358.6,9.5,73,Rwanda,Nyamagabe,Buruhukiro,Mugote
-2.4415436 29.4162934 2253.300048828125 9.9,29.4162934,-2.4415436,2253.3,9.9,74,Rwanda,Nyamagabe,Buruhukiro,Mugoti
-2.4296864 29.4204933 2385.699951171875 9.916,29.4204933,-2.4296864,2385.7,9.916,75,Rwanda,Nyamagabe,Buruhukiro,Buruhukiro
-2.412747 29.3946885 2513.0 10.0,29.3946885,-2.412747,2513,10,76,Rwanda,Nyamagabe,Buruhukiro,Gitovu
-2.374732 29.4043782 2359.39990234375 10.0,29.4043782,-2.374732,2359.4,10,77,Rwanda,Nyamagabe,Gatare,Twiya
-2.4375708 29.4246014 2319.39990234375 9.3,29.4246014,-2.4375708,2319.4,9.3,78,Rwanda,Nyamagabe,Buruhukiro,Mugoti
-2.4404695 29.4387344 2316.10009765625 10.0,29.4387344,-2.4404695,2316.1,10,79,Rwanda,Nyamagabe,Buruhukiro,Giharayumbo
-2.3819104 29.408612 2418.300048828125 9.5,29.408612,-2.3819104,2418.3,9.5,80,Rwanda,Nyamagabe,Gatare,Muhingo
-2.4240664 29.4119195 2355.699951171875 9.5,29.4119195,-2.4240664,2355.7,9.5,81,Rwanda,Nyamagabe,Buruhukiro,Nganzo
-2.4254152 29.4132285 2404.39990234375 8.5,29.4132285,-2.4254152,2404.4,8.5,82,Rwanda,Nyamagabe,Buruhukiro,Nganzo
-2.388784 29.4121611 2398.199951171875 9.5,29.4121611,-2.388784,2398.2,9.5,83,Rwanda,Nyamagabe,Gatare,Kagano
-2.4195586 29.3935815 2369.300048828125 10.0,29.3935815,-2.4195586,2369.3,10,84,Rwanda,Nyamagabe,Buruhukiro,Gitovu
-2.3975204 29.4083139 2459.5 7.5,29.4083139,-2.3975204,2459.5,7.5,85,Rwanda,Nyamagabe,Buruhukiro,Kinyonza
-2.3901639 29.409148 2508.5 8.5,29.409148,-2.3901639,2508.5,8.5,86,Rwanda,Nyamagabe,Gatare,Kagano
-2.4254971 29.4133263 2398.5 9.5,29.4133263,-2.4254971,2398.5,9.5,87,Rwanda,Nyamagabe,Buruhukiro,Munini
-2.4152294 29.4093014 2371.0 10.0,29.4093014,-2.4152294,2371,10,88,Rwanda,Nyamagabe,Buruhukiro,Matsinda
-2.4059759 29.4069697 2451.89990234375 7.0,29.4069697,-2.4059759,2451.9,7,89,Rwanda,Nyamagabe,Buruhukiro,Munini
-2.4161022 29.4045969 2378.39990234375 9.3,29.4045969,-2.4161022,2378.4,9.3,90,Rwanda,Nyamagabe,Buruhukiro,Uwinzovu
-1.5388199999999999 29.97005166666667 2449.4 7.8,29.97005167,-1.53882,2449.4,7.8,92,Rwanda,Gicumbi,Manyagiro,Sangano
-2.4532519 29.416095 2338.300048828125 9.3,29.416095,-2.4532519,2338.3,9.3,93,Rwanda,Nyamagabe,Buruhukiro,Mujerenge
-2.4639378 29.4108433 2396.10009765625 10.0,29.4108433,-2.4639378,2396.1,10,94,Rwanda,Nyamagabe,Buruhukiro,Gishwati
-2.4699754 29.4079855 2372.699951171875 9.416,29.4079855,-2.4699754,2372.7,9.416,95,Rwanda,Nyamagabe,Buruhukiro,Gishwati
-2.4495127 29.3991115 2410.0 6.0,29.3991115,-2.4495127,2410,6,96,Rwanda,Nyamagabe,Buruhukiro,Tantamara
-2.3873503 29.4132546 2382.199951171875 9.531,29.4132546,-2.3873503,2382.2,9.531,97,Rwanda,Nyamagabe,Gatare,Kagano
-2.4700772 29.4057491 2346.39990234375 10.0,29.4057491,-2.4700772,2346.4,10,98,Rwanda,Nyamagabe,Buruhukiro,Kinaba
-2.4449525 29.4004206 2353.699951171875 9.7,29.4004206,-2.4449525,2353.7,9.7,99,Rwanda,Nyamagabe,Buruhukiro,Gikungu
-2.4448705 29.430969 2289.10009765625 9.5,29.430969,-2.4448705,2289.1,9.5,100,Rwanda,Nyamagabe,Buruhukiro,Rusekera
-1.501993333333333 30.00177833333333 2250.3 5.3,30.00177833,-1.501993333,2250.3,5.3,101,Rwanda,Gicumbi,Cyumba,Kiriba
-1.5050766666666666 30.00757 2184.7 8.0,30.00757,-1.505076667,2184.7,8,102,Rwanda,Gicumbi,Cyumba,Mubuga
-1.4908433333333335 30.00475333333333 2187.4 9.9,30.00475333,-1.490843333,2187.4,9.9,103,Rwanda,Gicumbi,Cyumba,Gipandi
-1.5017366 30.0011346 2249.0 10.0,30.0011346,-1.5017366,2249,10,104,Rwanda,Gicumbi,Cyumba,Rugerero
-1.4910217 30.0080784 2203.0 5.428,30.0080784,-1.4910217,2203,5.428,105,Rwanda,Gicumbi,Cyumba,Gipande
-1.5011916666666665 30.002025000000003 2246.5 6.5,30.002025,-1.501191667,2246.5,6.5,106,Rwanda,Gicumbi,Cyumba,Rugerero
-1.5040566666666668 30.000511666666664 2121.9 7.5,30.00051167,-1.504056667,2121.9,7.5,107,Rwanda,Gicumbi,Cyumba,Kiriba
-1.5060623 30.0004234 2201.0 8.524,30.0004234,-1.5060623,2201,8.524,108,Rwanda,Gicumbi,Cyumba,Nyamabare
-1.4961633333333335 30.00257 2271.1 6.4,30.00257,-1.496163333,2271.1,6.4,109,Rwanda,Gicumbi,Cyumba,Rugerero
-1.5028233333333332 30.00012166666667 2245.6 6.9,30.00012167,-1.502823333,2245.6,6.9,110,Rwanda,Gicumbi,Cyumba,Rugerero
-1.5077583333333333 30.000898333333332 2224.5 5.4,30.00089833,-1.507758333,2224.5,5.4,111,Rwanda,Gicumbi,Manyagiro,Rusabira
-1.52821 30.01363333333334 2141.0 8.9,30.01363333,-1.52821,2141,8.9,112,Rwanda,Gicumbi,Manyagiro,Muturirwa
-1.5190333333333332 30.01876333333333 2149.6 7.0,30.01876333,-1.519033333,2149.6,7,113,Rwanda,Gicumbi,Manyagiro,Mutara
-1.5637745 30.0089041 1881.0 8.166,30.0089041,-1.5637745,1881,8.166,114,Rwanda,Gicumbi,Manyagiro,Kiyovu
-1.5239933333333335 30.008735 2213.8 8.3,30.008735,-1.523993333,2213.8,8.3,115,Rwanda,Gicumbi,Manyagiro,Nyantarure
-1.5193013 30.0186601 2175.0 9.833,30.0186601,-1.5193013,2175,9.833,116,Rwanda,Gicumbi,Manyagiro,Mutara
-1.5163196 30.0018792 2251.0 9.333,30.0018792,-1.5163196,2251,9.333,117,Rwanda,Gicumbi,Manyagiro,Rugasa
-1.5228579 30.0125845 2150.0 8.166,30.0125845,-1.5228579,2150,8.166,118,Rwanda,Gicumbi,Manyagiro,Kigarama
-1.5089613 30.001439 2193.0 9.833,30.001439,-1.5089613,2193,9.833,119,Rwanda,Gicumbi,Manyagiro,Rugasa
-1.5221333333333333 29.99925 2256.6 5.7,29.99925,-1.522133333,2256.6,5.7,120,Rwanda,Gicumbi,Manyagiro,Taba
-1.5531566666666667 30.01077666666667 1874.2 6.4,30.01077667,-1.553156667,1874.2,6.4,121,Rwanda,Gicumbi,Manyagiro,Rurembo
-1.5617166666666669 30.013063333333335 1850.6 9.1,30.01306333,-1.561716667,1850.6,9.1,122,Rwanda,Gicumbi,Manyagiro,Kiyovu
-1.5547049999999998 30.010830000000002 1861.2 5.0,30.01083,-1.554705,1861.2,5,123,Rwanda,Gicumbi,Manyagiro,Rurembo
-1.5628716666666667 30.00779 1972.7 9.4,30.00779,-1.562871667,1972.7,9.4,124,Rwanda,Gicumbi,Manyagiro ,Kiyovu
-1.5432816666666667 30.011861666666665 1873.7 8.6,30.01186167,-1.543281667,1873.7,8.6,125,Rwanda,Gicumbi,Manyagiro,Kajevuba
-1.5610967 30.0150745 1837.0 8.843,30.0150745,-1.5610967,1837,8.843,126,Rwanda,Gicumbi,Manyagiro,Kiyovu
-1.5330550000000003 30.020713333333333 1844.9 8.6,30.02071333,-1.533055,1844.9,8.6,127,Rwanda,Gicumbi,Manyagiro,Murehe
-1.5542474 30.0125444 1855.0 9.0,30.0125444,-1.5542474,1855,9,128,Rwanda,Gicumbi,Manyagiro,Rulembo
-1.561404 30.0149086 1852.0 10.0,30.0149086,-1.561404,1852,10,129,Rwanda,Gicumbi,Manyagiro,Kiyovu
-1.5604261 30.016236 1843.0 8.0,30.016236,-1.5604261,1843,8,130,Rwanda,Gicumbi,Manyagiro,Rurembo
-1.4793352 30.0094393 2139.0 9.2,30.0094393,-1.4793352,2139,9.2,131,Rwanda,Gicumbi,Cyumba,Remera
-1.4951866666666664 30.024538333333332 2008.0 6.9,30.02453833,-1.495186667,2008,6.9,132,Rwanda,Gicumbi,Cyumba,Burindi
-1.5049649 30.0002724 2208.0 6.0,30.0002724,-1.5049649,2208,6,133,Rwanda,Gicumbi,Cyumba,Nyamabare
-1.4911562 30.0139261 2162.0 5.0,30.0139261,-1.4911562,2162,5,134,Rwanda,Gicumbi,Cyumba,Murore
-1.4917669 30.0042043 2224.0 8.666,30.0042043,-1.4917669,2224,8.666,135,Rwanda,Gicumbi,Cyumba,Gipandi
-1.5039502 30.0051323 2214.0 8.618,30.0051323,-1.5039502,2214,8.618,136,Rwanda,Gicumbi,Cyumba,Kiriba
