"node","x","y","layer","MLDS","MLWS","R10mm","R20mm","Rx1day","Rx5day","R95p","R99p","Rtotal","SDII","maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD","WSDI","CSDI","T10p","T90p","best3","rules"
4,29.15337438,-2.00578359,1,5,32,16,8,140.04,477.33,525.36,140.04,1065.46,13.6498734177215,26.63,19.04,17.43,14.67,7,0,0,0,5,3,15.34,25.181,"Seka, Kirundo, Ndamira","DTR <= 8 & DTR <= 7 & MLWS <= 32"
4,29.07004104,-2.08911693,1,5,32,16,8,140.04,477.33,525.36,140.04,1065.46,13.6498734177215,26.63,19.04,17.43,14.67,7,0,0,0,5,3,15.34,25.181,"Seka, Kirundo, Ndamira","DTR <= 8 & DTR <= 7 & MLWS <= 32"
4,29.07004104,-2.00578359,1,5,32,16,8,140.04,477.33,525.36,140.04,1065.46,13.6498734177215,26.63,19.04,17.43,14.67,7,0,0,0,5,3,15.34,25.181,"Seka, Kirundo, Ndamira","DTR <= 8 & DTR <= 7 & MLWS <= 32"
4,29.23670772,-2.00578359,1,5,32,16,8,140.04,477.33,525.36,140.04,1065.46,13.6498734177215,26.63,19.04,17.43,14.67,7,0,0,0,5,3,15.34,25.181,"Seka, Kirundo, Ndamira","DTR <= 8 & DTR <= 7 & MLWS <= 32"
4,29.32004106,-2.00578359,1,5,32,16,8,140.04,477.33,525.36,140.04,1065.46,13.6498734177215,26.63,19.04,17.43,14.67,7,0,0,0,5,3,15.34,25.181,"Seka, Kirundo, Ndamira","DTR <= 8 & DTR <= 7 & MLWS <= 32"
4,29.4033744,-2.00578359,1,5,32,16,8,140.04,477.33,525.36,140.04,1065.46,13.6498734177215,26.63,19.04,17.43,14.67,7,0,0,0,5,3,15.34,25.181,"Seka, Kirundo, Ndamira","DTR <= 8 & DTR <= 7 & MLWS <= 32"
4,29.32004106,-2.08911693,1,5,32,16,8,140.04,477.33,525.36,140.04,1065.46,13.6498734177215,26.63,19.04,17.43,14.67,7,0,0,0,5,3,15.34,25.181,"Seka, Kirundo, Ndamira","DTR <= 8 & DTR <= 7 & MLWS <= 32"
4,29.07004104,-2.25578361,1,5,32,16,8,140.04,477.33,525.36,140.04,1065.46,13.6498734177215,26.63,19.04,17.43,14.67,7,0,0,0,5,3,15.34,25.181,"Seka, Kirundo, Ndamira","DTR <= 8 & DTR <= 7 & MLWS <= 32"
4,29.15337438,-2.25578361,1,5,32,16,8,140.04,477.33,525.36,140.04,1065.46,13.6498734177215,26.63,19.04,17.43,14.67,7,0,0,0,5,3,15.34,25.181,"Seka, Kirundo, Ndamira","DTR <= 8 & DTR <= 7 & MLWS <= 32"
4,29.48670774,-2.33911695,1,5,32,16,8,140.04,477.33,525.36,140.04,1065.46,13.6498734177215,26.63,19.04,17.43,14.67,7,0,0,0,5,3,15.34,25.181,"Seka, Kirundo, Ndamira","DTR <= 8 & DTR <= 7 & MLWS <= 32"
